Title,IMDB id,Year,Rating,Genre,Top_cast
Kaminey,tt1274295,2009,7.4,"Action, Crime, Drama","Shahid KapoorGuddu(as Shahid Kapur)…, Priyanka Chopra JonasSweety(as Priyanka Chopra), Deb MukherjeeMujib"
Baadshah,tt0211934,1999,6.8,"Action, Comedy, Crime","Shah Rukh KhanRaj 'Baadshah', Twinkle KhannaSeema Malhotra, Amrish PuriSuraj Singh Thaper"
Badla,tt8130968,2019,7.7,"Crime, Drama, Mystery","Taapsee PannuNaina Sethi, Amitabh BachchanBadal Gupta, Antonio AakeelSunny Singh Toor"
Tere Naam,tt0374271,2003,7.2,"Action, Drama, Romance","Salman KhanRadhe Mohan, Bhoomika ChawlaNirjara Bharadwaj, Sachin KhedekarRadhe's brother"
Once Upon a Time in Mumbaai,tt1395054,2010,7.4,"Action, Crime, Drama","Ajay DevgnSultan Mirza, Emraan HashmiShoaib Khan, Kangana RanautRehana(as Kangna Ranaut)"
Jolly LLB,tt2621000,2013,7.5,"Comedy, Crime, Drama","Arshad WarsiJagdish Tyagi a.k.a. Jolly, Amrita RaoSandhya, Boman IraniAdvocate Rajpal"
Oye Lucky! Lucky Oye!,tt1292703,2008,7.7,"Comedy, Crime, Drama","Abhay DeolLovinder 'Lucky' Singh, Paresh RawalLucky's father…, Nitu ChandraSonal(as Neetu Chandra)"
The Villain,tt0080097,1979,5.3,"Comedy, Western","Kirk DouglasCactus Jack, Arnold SchwarzeneggerHandsome Stranger, Ann-MargretCharming Jones"
Bareilly Ki Barfi,tt6967980,2017,7.5,"Comedy, Romance","Ayushmann KhurranaChirag Dubey, Kriti SanonBitti Mishra, Rajkummar RaoPritam Vidrohi"
Iqbal,tt0453729,2005,8.1,"Drama, Sport","Shreyas TalpadeIqbal, Naseeruddin ShahMohit, Shweta Basu PrasadKhadija(as Shweta Prasad)"
Sarkar,tt7715202,2018,6.7,"Action, Drama","Joseph VijaySundar Ramasamy, Varalaxmi SarathkumarKomalavalli (Pappa), Yogi BabuKaushik"
Detective Byomkesh Bakshy!,tt3447364,2015,7.6,"Action, Crime, Drama","Sushant Singh RajputByomkesh Bakshy, Anand TiwariAjit Banerjee, Neeraj KabiDr. Anukul Guha…"
Death Race 2000,tt0072856,1975,6.2,"Action, Comedy, Sci-Fi","David CarradineFrankenstein, Sylvester StalloneMachine Gun Joe Viterbo, Simone GriffethAnnie"
Gangaajal,tt0373856,2003,7.8,"Action, Crime, Drama","Ajay DevgnAmit Kumar, Gracy SinghAnuradha, Mohan JoshiSadhu Yadav"
Baghban,tt0337578,2003,7.4,"Drama, Romance","Amitabh BachchanRaj Malhotra, Hema MaliniPooja Malhotra, Salman KhanAlok Raj"
Khakee: The Bihar Chapter,tt23037654,2022– ,8.2,"Action, Crime, Drama","Karan TackerAmit Lodha7 eps • 20227 episodes • 2022, Avinash TiwaryChandan Manto7 eps • 20227 episodes • 2022, Nikita DuttaTanu7 eps • 20227 episodes • 2022"
Band Baaja Baaraat,tt1610452,2010,7.2,"Comedy, Drama, Romance","Ranveer SinghBittoo Sharma, Anushka SharmaShruti Kakkar, Ranjit BatraFather-in-law of Sonia"
Dabangg 2,tt2112131,2012,4.8,"Action, Comedy, Crime","Salman KhanChulbul Pandey, Sonakshi SinhaRajjo Pandey, Prakash RajThakur Bachchalal Singh"
Super 30,tt7485048,2019,7.9,"Biography, Drama","Hrithik RoshanAnand Kumar, Mrunal ThakurSupriya, Nandish Singh SandhuPranav Kumar(as Nandish Singh)"
Phir Hera Pheri,tt0419058,2006,7.3,"Comedy, Crime","Akshay KumarRaju, Suniel ShettyGhanshyam (Shyam)(as Sunil Shetty), Paresh RawalBaburao Ganpatrao Apte"
Lootera,tt2224317,2013,7.4,"Drama, Romance","Ranveer SinghVarun Shrivastav, Sonakshi SinhaPakhi Roy Chaudhary, Barun ChandaSoumitra Roy Chaudhary"
Newton,tt6484982,2017,7.6,"Comedy, Drama","Rajkummar RaoNewton Kumar, Pankaj TripathiAatma Singh, Anjali PatilMalko Netam"
Love Aaj Kal,tt1275863,2009,6.8,"Comedy, Drama, Romance","Saif Ali KhanJai Vardhan Singh…, Deepika PadukoneMeera Pandit, Rishi KapoorVeer Singh"
Chalte Chalte,tt0346723,2003,6.5,"Drama, Romance","Shah Rukh KhanRaj Mathur, Rani MukerjiPriya Chopra(as Rani Mukherji), Jas AroraSameer"
Golmaal: Fun Unlimited,tt0495034,2006,7.5,"Action, Comedy, Drama","Ajay DevgnGopal, Arshad WarsiMadhav Singh 'Madhu' Ghai, Sharman JoshiLaxman"
Shahid,tt2181831,2012,8.2,"Biography, Drama","Rajkummar RaoShahid Azmi(as Raj Kumar Yadav), Prabhleen SandhuMariam, Mohd. Zeeshan AyyubArif(as Mohammed Zeeshan Ayyub)"
Three's Company,tt0075596,1976–1984,7.5,Comedy,"John RitterJack Tripper…173 eps • 1976–1984173 episodes • 1976–1984, Joyce DeWittJanet Wood171 eps • 1976–1984171 episodes • 1976–1984, Suzanne SomersChrissy Snow100 eps • 1977–1981100 episodes • 1977–1981"
The Legend of Bhagat Singh,tt0319736,2002,8.1,"Action, Biography, Drama","Ajay DevgnBhagat Singh, Sushant SinghSukhdev Thapar, D. SantoshShivram Hari Rajguru"
Article 15,tt10324144,2019,8.1,"Crime, Drama, Mystery","Ayushmann KhurranaAyan Ranjan, NassarCBI Officer Panikar(as Nasser), Manoj PahwaBhramadatt Singh"
Student of the Year 2,tt7255568,2019,2.2,"Action, Comedy, Drama","Tiger ShroffRohan Sachdev, Ananya PandayShreya Randhawa(as Ananya Pandey), Tara SutariaMridula Chawla aka Mia"
Singh Is Kinng,tt1146325,2008,5.7,"Action, Comedy, Crime","Akshay KumarHappy Singh, Katrina KaifSonia, Om PuriRangeela"
Singham Again,tt11976134,2024,6.026003,"Action, Drama","Ajay DevgnBajirao Singham, Kareena KapoorAvni Kamat Singham, Deepika PadukoneShakti Shetty"
Serbuan Maut,tt1899353,2011,7.6,"Action, Crime, Thriller","Iko UwaisRama, Ananda GeorgeAri, Ray SahetapyTama"
Dil Dhadakne Do,tt4110568,2015,7,"Comedy, Drama, Romance","Anil KapoorKamal Mehra, Shefali ShahNeelam Mehra(as Shefali Shetty), Priyanka Chopra JonasAyesha Mehra(as Priyanka Chopra)"
Pyaar Ka Punchnama 2,tt4430136,2015,7.3,"Comedy, Drama, Romance","Kartik AaryanAnshul Sharma aka Gogo(as Kartik Tiwari), Omkar KapoorTarun Thakur, Sunny SinghSiddharth Gandotra aka Chauka(as Sunny Singh Nijjar)"
Tubelight,tt5882970,2017,3.9,"Drama, War","Salman KhanLaxman, Sohail KhanBharat, Om PuriBanne Chacha"
Dostana,tt1185420,2008,6.4,"Comedy, Drama, Romance","Abhishek BachchanSameer 'Sam' Acharya, John AbrahamKunal Chauhan, Priyanka Chopra JonasNeha Melwani(as Priyanka Chopra)"
Pardes,tt0119861,1997,6.9,"Drama, Musical, Romance","Shah Rukh KhanArjun Saagar, Mahima ChaudhryKusum Ganga(as Mahima Chaudhary), Amrish PuriKishorilal"
Gulaal,tt1261047,2009,8,"Crime, Drama, Thriller","Kay Kay MenonDukey Bana, Raj Singh ChaudharyDilip Kumar Singh, Raja ChaudharyDilip Kumar Singh"
Mr. India,tt0093578,1987,7.7,"Action, Comedy, Drama","Anil KapoorArun Verma…, SrideviSeema Sohni, Amrish PuriMogambo"
Student of the Year 2,tt7255568,2019,2.2,"Action, Comedy, Drama","Tiger ShroffRohan Sachdev, Ananya PandayShreya Randhawa(as Ananya Pandey), Tara SutariaMridula Chawla aka Mia"
Hasee Toh Phasee,tt3173910,2014,6.8,"Comedy, Romance","Sidharth MalhotraNikhil Bhardwaj, Parineeti ChopraMeeta, Adah SharmaKarishma"
Kaho Naa... Pyaar Hai,tt0234000,2000,6.9,"Action, Musical, Romance","Hrithik RoshanRohit…, Ameesha PatelSonia Saxena(as Amisha Patel), Anupam KherSaxena"
Nayak: The Real Hero,tt0291376,2001,7.8,"Action, Drama, Thriller","Anil KapoorShivaji Rao, Rani MukerjiManjari, Amrish PuriBalraj Chauhan (Chief Minister)"
Cocktail,tt0094889,1988,5.9,"Comedy, Drama, Romance","Tom CruiseBrian Flanagan, Bryan BrownDoug Coughlin, Elisabeth ShueJordan Mooney"
Garam Masala,tt0453671,2005,6.7,"Comedy, Romance","Akshay KumarMac, John AbrahamShyam ""Sam"", Paresh RawalMambo"
Mujhse Shaadi Karogi,tt0418362,2004,6.7,"Comedy, Romance","Salman KhanSameer Malhotra, Akshay KumarSunny, Priyanka Chopra JonasRani Singh(as Priyanka Chopra)"
Hum Tum,tt0378072,2004,7,"Comedy, Drama, Romance","Saif Ali KhanKaran Kapoor, Rani MukerjiRhea Prakash, Kirron KherParminder 'Bobby' Prakash(as Kiron Kher)"
Housefull 2,tt1980986,2012,5.3,"Action, Comedy, Drama","Akshay KumarSunny, John AbrahamMax, Asin ThottumkalHenna(as Asin)"
Mulk,tt7618184,2018,7.3,Drama,"Taapsee PannuAarti, Rishi KapoorMurad Ali Mohammed, Ashutosh RanaSantosh"
Tanu Weds Manu,tt1694542,2011,6.8,"Comedy, Drama, Romance","MadhavanManoj 'Manu' K. Sharma(as R. Madhavan), Kangana RanautTanuja 'Tanu' R. Trivedi, Jimmy ShergillRaja Awasthi(as Jimmy Sheirgill)"
Desi Boyz,tt1985981,2011,5.7,"Comedy, Drama, Romance","Akshay KumarJerry, John AbrahamNick, Deepika PadukoneRadhika Awasthi"
Satya,tt0195231,1998,8.3,"Action, Crime, Drama","J.D. ChakravarthiSatya(as Chakravarty), Manoj BajpayeeBhiku Mhatre(as Manoj Bajpai), Urmila MatondkarVidya"
Saaho,tt6836936,2019,5,"Action, Thriller","PrabhasAshok Chakravarthy…, Shraddha KapoorAmritha Nair, Jackie ShroffRoy"
Heyy Babyy,tt0806088,2007,6,"Comedy, Drama","Akshay KumarArush Mehra, Fardeen KhanAli Haider, Riteish DeshmukhTanmay Joglekar"
Jaane Bhi Do Yaaro,tt0085743,1983,8.3,"Comedy, Crime, Drama","Naseeruddin ShahVinod Chopra, Ravi BaswaniSudhir Mishra, Bhakti BarveShobha Sen"
Karan Arjun,tt0113526,1995,6.8,"Action, Drama, Fantasy","Rakhee GulzarDurga Singh, Salman KhanKaran Singh, Shah Rukh KhanArjun Singh"
Death Race,tt0452608,2008,6.4,"Action, Sci-Fi, Thriller","Jason StathamJensen Ames, Joan AllenHennessey, Tyrese GibsonMachine Gun Joe"
Paheli,tt0451850,2005,6.4,"Comedy, Drama, Fantasy","Shah Rukh KhanKishan Laal…, Rani MukerjiLachchi, Anupam KherBhanwarlal"
Yes Boss,tt0120540,1997,6.7,"Comedy, Drama, Musical","Shah Rukh KhanRahul Joshi, Juhi ChawlaSeema Kapoor, Aditya PancholiSidharth Chaudhry"
Mumbai Diaries 26/11,tt12714854,2021– ,8.6,"Drama, Thriller","Mohit RainaDr. Kaushik Oberoi16 eps • 2021–202316 episodes • 2021–2023, Konkona Sen SharmaDr. Chitra Das16 eps • 2021–202316 episodes • 2021–2023, Tina DesaiAnanya Ghosh16 eps • 2021–202316 episodes • 2021–2023"
Chachi 420,tt0233422,1997,7.4,"Comedy, Drama, Family","Kamal HaasanJaiprakash Paswan(as Padmashri Kamal Haasan)…, Amrish PuriDurgaprasad Bhardwaj, Om PuriBanwarilal Pandey"
Kites,tt1198101,2010,6,"Action, Drama, Romance","Hrithik RoshanJay Ray, Bárbara MoriNatasha…, Nicholas BrownTony B. Grover"
Housefull 5,tt9104736,2025,6.026003,"Comedy, Drama","Kriti Sanon, Akshay Kumar, Nora FatehiCameo"
Dhamaal,tt0845448,2007,7.5,"Action, Adventure, Comedy","Sanjay DuttInspector Kabir Nayak, Riteish DeshmukhDeshbandhu Roy(as Ritesh Deshmukh), Arshad WarsiAditya Shrivastav (Adi)"
Vaastav: The Reality,tt0220832,1999,8,"Action, Crime, Drama","Sanjay DuttRaghunath Shivalkar, Namrata ShirodkarSonia, Reema LagooShanta Namdev Shivalkar"
Aankhen,tt0106204,1993,6.8,"Action, Comedy, Crime","GovindaBunnu…, Chunky PandeyMunnu, Raj BabbarChief Minister…"
Madaari,tt5713232,2016,7.6,"Drama, Thriller","Irrfan KhanNirmal Kumar, Jimmy ShergillNachiket Verma, Vishesh BansalRohan Goswami"
Hungama,tt0371735,2003,7.6,"Comedy, Drama, Romance","Akshaye KhannaJitender 'Jeetu' Sahai, Aftab ShivdasaniNandu, Rimi SenAnjali"
NH10,tt3742284,2015,7.2,"Action, Crime, Drama","Anushka SharmaMeera, Neil BhoopalamArjun, Darshan KumaarSatbir(as Darshan Kumar)"
Raman Raghav 2.0,tt5662932,2016,7.3,"Crime, Drama, Thriller","Nawazuddin SiddiquiRamanna (Raman), Vicky KaushalRaghavan (Raghav), Sobhita DhulipalaSimmy"
Ajab Prem Ki Ghazab Kahani,tt1252596,2009,6.4,"Action, Comedy, Musical","Ranbir KapoorPremshankar 'Prem' S. Sharma, Katrina KaifJenny Pinto, Darshan JariwalaShivshankar Sharma"
Peepli [Live],tt1447508,2010,7.4,"Comedy, Drama","Onkar Das ManikpuriNathadas Manikpuri(as Omkar Das Manikpuri), Raghubir YadavBudhia Manikpuri(as Raghuvir Yadav), Shalini VatsaDhaniya N. Manikpuri"
October Sky,tt0132477,1999,7.8,"Biography, Drama, Family","Jake GyllenhaalHomer Hickam, Chris CooperJohn Hickam, Laura DernMiss Riley"
MSG: The Messenger of God,tt4107858,2015,6,"Action, Comedy, Drama","Gurmeet Ram Rahim SinghGuru Ji(as Gurmeet Ram Rahim Singh Ji Insan), Daniel KalebMike, Flora SainiMuskan(as Fllora Saini)"
Fashion,tt0964516,2008,6.9,"Drama, Romance","Priyanka Chopra JonasMeghna Mathur(as Priyanka Chopra), Kangana RanautShonali Gujral, Mugdha GodseJanet Sequeira"
Band of Brothers,tt0185906,2001,9.4,"Drama, History, War","Scott GrimesDonald G. Malarkey10 eps • 200110 episodes • 2001, Damian LewisRichard D. Winters10 eps • 200110 episodes • 2001, Ron LivingstonLewis Nixon10 eps • 200110 episodes • 2001"
Paa,tt1532957,2009,7.1,"Comedy, Drama","Amitabh BachchanAuro, Abhishek BachchanAmol Arte, Vidya BalanDr. Vidya"
Kesari,tt6264938,2019,7.4,"Action, Drama, History","Akshay KumarHavildar Ishar Singh, Parineeti ChopraJiwani, Suvinder VickyNaik Lal Singh"
Red Queen,tt20883126,2024,6.026003,Thriller,"Vicky LuengoAntonia Scott7 eps • 20247 episodes • 2024, Hovik KeuchkerianJon Gutiérrez7 eps • 20247 episodes • 2024, Celia FreijeiroCarla Ortiz7 eps • 20247 episodes • 2024"
Johnny Gaddaar,tt1077248,2007,7.9,"Crime, Drama, Mystery","DharmendraSheshadri 'Seshu', Rimi SenMini(as Rimi), Ashwini KalsekarVarsha"
Go Goa Gone,tt2436516,2013,6.6,"Action, Adventure, Comedy","Saif Ali KhanBoris, Kunal KemmuHardik(as Kunal Khemu), Vir DasLuv"
Irudhi Suttru,tt5310090,2016,7.6,"Action, Drama, Sport","MadhavanAdi Tomar, NassarPunch Pandian(as Nasser), Radha RaviMuralikrishnan"
Hey Ram,tt0222012,2000,7.9,"Crime, Drama, History","Kamal HaasanSaketh Ram, Shah Rukh KhanAmjad Ali Khan, Rani MukerjiAparna Ram"
Bheja Fry,tt1014672,2007,7.6,"Comedy, Drama","Vinay PathakBharat Bhushan, Rajat KapoorRanjeet Thadani, Sarika ThakurSheetal R. Thadani(as Sarika)"
Te3n,tt4814290,2016,7.2,"Crime, Drama, Mystery","Amitabh BachchanJohn Biswas, Nawazuddin SiddiquiMartin Das, Vidya BalanSarita Sarkar"
Tees Maar Khan,tt1572311,2010,2.7,"Comedy, Crime","Akshay KumarTabrez Mirza 'Tees Maar' Khan, Katrina KaifAnya Khan, Akshaye KhannaAatish Kapoor"
Chupke Chupke,tt0072783,1975,8.3,"Comedy, Drama, Romance","DharmendraDr. Parimal Tripathi, Sharmila TagoreSulekha Chaturvedi, Amitabh BachchanProfessor Sukumar Sinha"
Table No.21,tt2229842,2013,7.2,"Adventure, Drama, Thriller","Paresh RawalMr. Khan, Rajeev KhandelwalVivaan Agasthi, Tina DesaiSiya Agasthi(as Tena Desae)"
Ghulam,tt0190419,1998,7.2,"Action, Crime, Drama","Aamir KhanSiddharth Marathe, Rani MukerjiAlisha Mafatlal, Rajit KapoorJai, Siddhartha's brother"
Shaadi Mein Zaroor Aana,tt7469726,2017,7.5,"Drama, Romance","Rajkummar RaoSatyendra Mishra 'Sattu', Kriti KharbandaAarti Shukla, K.K. RainaJugal Kishore Mishra"
The Ghazi Attack,tt6299040,2017,7.5,"Action, Thriller, War","Rana DaggubatiLt.Commander Arjun Varma, Kay Kay MenonCaptain Rann Vijay Singh, Atul KulkarniXO Devaraj"
Partner Track,tt15390524,2022,6.7,Drama,"Arden ChoIngrid Yun10 eps • 202210 episodes • 2022, Alexandra TurshenRachel Friedman10 eps • 202210 episodes • 2022, Bradley GibsonTyler Robinson10 eps • 202210 episodes • 2022"
Don Jon,tt2229499,2013,6.5,"Comedy, Drama, Romance","Joseph Gordon-LevittJon, Scarlett JohanssonBarbara, Julianne MooreEsther"
No One Killed Jessica,tt1734110,2011,7.2,"Biography, Crime, Drama","Rani MukerjiMeera Gaity, Vidya BalanSabrina Lall, Myra KarnJessica Lall(as Myra)"
Maine Pyar Kiya,tt0100095,1989,7.3,"Drama, Musical, Romance","Salman KhanPrem Choudhary, Bhagyashree PatwardhanSuman(as Bhagyashree), Alok NathKaran(as Aloknath)"
Gold,tt1800302,2016,6.7,"Biography, Crime, Drama","Matthew McConaugheyKenny Wells, Edgar RamírezMichael Acosta(as Édgar Ramírez), Bryce Dallas HowardKay"
Humpty Sharma Ki Dulhania,tt3678938,2014,6,"Comedy, Drama, Romance","Varun DhawanRakesh 'Humpty' Sharma, Alia BhattKavya Pratap Singh, Ashutosh RanaMr. Singh - Kavya's Father"
Life in a Metro,tt0800956,2007,7.4,"Comedy, Drama, Musical","DharmendraAmol, Gautam KapurVishy K.(voice), Irrfan KhanMonty"
Tere Bin Laden,tt1629391,2010,7.2,"Comedy, Drama","Ali ZafarAli Hassan, Pradhuman SinghNoora(as Pradhuman Singh Mall)…, Piyush MishraMajeed Khan"
No Entry,tt0451833,2005,6.6,"Comedy, Drama, Musical","Salman KhanPrem, Anil KapoorKishan, Fardeen KhanShekhar 'Sunny'"
Mohenjo Daro,tt3859980,2016,5.6,"Action, Adventure, Drama","Hrithik RoshanSarman, Pooja HegdeChaani, Kabir BediMaham"
Qayamat Se Qayamat Tak,tt0095936,1988,7.4,"Drama, Musical, Romance","Aamir KhanRaj, Juhi ChawlaRashmi, Goga KapoorRandhir Singh"
Helluva Boss,tt10691770,2019– ,8.2,"Animation, Action, Comedy","Brandon RogersBlitzø…21 eps • 2019–202421 episodes • 2019–2024, Richard Steven HorvitzMoxxie…16 eps • 2019–202416 episodes • 2019–2024, Vivian NixonMillie…14 eps • 2020–202414 episodes • 2020–2024"
Fukrey,tt2806788,2013,6.9,"Comedy, Drama, Romance","Pulkit SamratHunny, Manjot SinghLali, Ali FazalZafar"
Gangs of New York,tt0217505,2002,7.5,"Crime, Drama","Leonardo DiCaprioAmsterdam Vallon, Cameron DiazJenny Everdeane, Daniel Day-LewisBill 'The Butcher' Cutting"
Mardaani,tt3495000,2014,7.3,"Action, Crime, Drama","Rani MukerjiShivani Shivaji Roy, Jisshu SenguptaDr. Shivaji Roy(as Jisshu U. Sengupta), Anant VidhaatSunny Katyal(as Anant Sharma)"
Billu,tt1230448,2009,6.4,"Comedy, Drama","Irrfan KhanBillu(as Irrfan), Lara DuttaBindiya, Om PuriDamchand"
Karthik Calling Karthik,tt1373156,2010,7.1,"Drama, Mystery, Romance","Farhan AkhtarKarthik Narayan, Deepika PadukoneShonali Mukherjee, Ram KapoorKamath Sir"
Bachna Ae Haseeno,tt1182972,2008,6.2,"Comedy, Drama, Romance","Ranbir KapoorRaj Sharma, Deepika PadukoneGayatri, Bipasha BasuRadhika…"
Karwaan,tt7919680,2018,7.6,"Adventure, Comedy, Drama","Irrfan KhanShaukat, Dulquer SalmaanAvinash, Mithila PalkarTanya"
Gunda,tt11464016,2020,7.1,Documentary,GundaSelf
Ishqiya,tt12718412,2020,8,"Drama, Romance","Mehrunisa Iqbal2 eps • 20202 episodes • 2020, Hania AamirRumaisa2 eps • 20202 episodes • 2020, Feroze KhanHamza2 eps • 20202 episodes • 2020"
Gadar: Ek Prem Katha,tt0284137,2001,7.3,"Action, Drama, Romance","Sunny DeolTara Singh, Ameesha PatelSakeena(as Amisha Patel), Amrish PuriAshraf Ali"
Bhagam Bhag,tt0805184,2006,6.6,"Comedy, Drama, Mystery","Akshay KumarBunty, GovindaBabla, Paresh RawalChampak 'Champu' Chaturvedi"
Mary Kom,tt3001638,2014,6.8,"Action, Biography, Drama","Priyanka Chopra JonasMary Kom(as Priyanka Chopra), Sunil ThapaM. Narjit Singh (Mary Kom's Coach), Robin DasFather"
Deewaar,tt0072860,1975,8,"Action, Crime, Drama","Amitabh BachchanVijay Verma, Shashi KapoorRavi Verma, Nirupa RoySumitra Devi"
Ishq Murshid,tt29317254,2023– ,9.2,Romance,"Bilal Abbas KhanShahmeer8 eps • 20238 episodes • 2023, Dur-e-Fishan SaleemShibra8 eps • 20238 episodes • 2023, Abdul Khaliq Khan1 ep • 20231 episode • 2023"
Shivaay,tt3771536,2016,6.1,"Action, Adventure, Crime","Ajay DevgnShivaay, Abigail EamesGaura, Erika KaarOlga"
Shanghai Noon,tt0184894,2000,6.6,"Action, Adventure, Comedy","Jackie ChanChon Wang, Owen WilsonRoy O'Bannon, Lucy LiuPrincess Pei Pei"
Kalank,tt6988116,2019,3.6,"Drama, Romance","Kriti Sanon(Dancer in the song 'Aira Gera'), Alia BhattRoop, Kiara AdvaniLajjo"
Waqt: The Race Against Time,tt0390614,2005,6.7,"Comedy, Drama, Family","Amitabh BachchanIshwarchand Thakur, Akshay KumarAditya Thakur, Priyanka Chopra JonasPooja 'Mitali'(as Priyanka Chopra)"
Aitraaz,tt30228772,2023– ,6.026003,Drama,"Bharti Jha4 eps • 20234 episodes • 2023, Sapna Sharma4 eps • 20234 episodes • 2023, Taksh Narang4 eps • 20234 episodes • 2023"
Luck by Chance,tt0886539,2009,7.1,Drama,"Farhan AkhtarVikram Jaisingh, Konkona Sen SharmaSona Mishra, Rishi KapoorRomy Rolly"
Mangal Pandey: The Rising,tt0346457,2005,6.5,"Biography, Drama, History","Aamir KhanSepoy Mangal Pandey, Rani MukerjiHeera, Toby StephensCaptain William Gordon"
Badrinath Ki Dulhania,tt6277440,2017,6.1,"Comedy, Drama, Romance","Varun DhawanBadrinath Bansal, Alia BhattVaidehi Trivedi, Sahil VaidSomdev Mishra"
Drake & Josh,tt0363328,2004–2007,7.7,"Comedy, Family","Drake BellDrake Parker56 eps • 2004–200756 episodes • 2004–2007, Josh PeckJosh Nichols56 eps • 2004–200756 episodes • 2004–2007, Miranda CosgroveMegan Parker56 eps • 2004–200756 episodes • 2004–2007"
Shootout at Lokhandwala,tt0811066,2007,7.1,"Action, Crime, Drama","Amitabh BachchanDhingra, Sanjay DuttA.A. Khan, Suniel ShettyKavi Raj Patil(as Sunil Shetty)"
Taxi No. 9 2 11: Nau Do Gyarah,tt0476884,2006,7.3,"Comedy, Drama, Thriller","John AbrahamJai S. Mittal, Nana PatekarRaghav M. 'Raghu' Shastri, Sonali KulkarniSunita R. Shastri"
Khatta Meetha,tt1455811,2010,5.9,"Comedy, Crime, Drama","Akshay KumarSachin R. Tichkule, Trisha KrishnanGehna Ganpule, Kulbhushan KharbandaRamakant Tichkule"
Ankhon Dekhi,tt3614516,2013,7.9,"Comedy, Drama","Sanjay MishraBauji, Seema PahwaAmma, Rajat KapoorChacha"
Parineeta,tt0437407,2005,7.2,"Drama, Musical, Romance","Vidya BalanLalita, Saif Ali KhanShekhar Roy, Sanjay DuttGirish Sharma"
Rangeela,tt0114234,1995,7.4,"Comedy, Drama, Musical","Aamir KhanMunna, Urmila MatondkarMili Joshi, Jackie ShroffRaj Kamal"
D-Day,tt10239930,2019,3.2,"Action, Drama, History","Randy CoutureMajor Cleveland Lytle, Chuck LiddellGeneral Omar Bradley, Weston CageLieutenant Colonel James Earl Rudder(as Weston Cage Coppola)"
Mere Brother Ki Dulhan,tt1740710,2011,5.9,"Comedy, Drama, Family","Imran KhanKush Agnihotri, Katrina KaifDimple Dixit, Ali ZafarLuv Agnihotri"
MSG 2 the Messenger,tt4921860,2015,7.1,"Action, Comedy, Drama","Muntazir Ahmad, Charanpreet InsanFairymeet Insan, Honeypreet InsanParimeet Insan"
Dhadak,tt7638344,2018,4.6,"Drama, Romance","Janhvi KapoorParthavi, Ishaan KhattarMadhukar, Ashutosh RanaRatan Singh"
Patiala House,tt1535467,2011,5.6,"Drama, Sport","Rishi KapoorGurtej Singh 'Bauji' Kahlon, Dimple KapadiaMrs. Kahlon, Akshay KumarParghat Singh 'Gattu' Kahlon…"
Ófærð,tt3561180,2015– ,8,"Crime, Drama, Mystery","Ólafur Darri ÓlafssonAndri Ólafsson…28 eps • 2015–202128 episodes • 2015–2021, Ilmur KristjánsdóttirHinrika Kristjánsdóttir28 eps • 2015–202128 episodes • 2015–2021, Björn Hlynur HaraldssonTrausti…25 eps • 2015–202125 episodes • 2015–2021"
Vivah,tt0494290,2006,6.6,"Drama, Musical, Romance","Shahid KapoorPrem 'Bholu', Amrita RaoPoonam 'Bitto', Anupam KherHarishchandra"
Son of Sardaar,tt2178508,2012,4.2,"Action, Comedy, Romance","Ajay DevgnJassi Randhawa, Sanjay DuttBillu, Sonakshi SinhaSukhmit"
Jagga Jasoos,tt4129428,2017,6.4,"Action, Adventure, Comedy","Ranbir KapoorJagga, Katrina KaifShruti Sengupta, Saswata ChatterjeeTutti Futti or Biplab Bagchi"
Hichki,tt6588966,2018,7.5,"Comedy, Drama","Rani MukerjiNaina Mathur, Rohit SarafAkshay, Pankaj AnandOlder Killam"
Ladies vs. Ricky Bahl,tt1954598,2011,6,"Comedy, Crime, Drama","Ranveer SinghRicky Bahl…, Anushka SharmaIshika Desai…, Parineeti ChopraDimple Chaddha"
The Dirty Picture,tt1954206,2011,6.6,"Biography, Comedy, Drama","Vidya BalanReshma…, Emraan HashmiAbraham, Tusshar KapoorRamakant(as Tusshar)"
Yuva,tt0382383,2004,7.3,"Action, Drama, Thriller","Ajay DevgnMichael Mukherjee, Abhishek BachchanLallan Singh, Rani MukerjiSashi Biswas"
